device_name,timestamp_ms,value,datetime,year,month
X360,1191211200000,766862,2007-10-01 04:00:00,2007,10
X360,1193889600000,1035542,2007-11-01 04:00:00,2007,11
X360,1196485200000,2193016,2007-12-01 05:00:00,2007,12
X360,1199163600000,674931,2008-01-01 05:00:00,2008,1
X360,1201842000000,491587,2008-02-01 05:00:00,2008,2
X360,1204347600000,631290,2008-03-01 05:00:00,2008,3
X360,1207022400000,520744,2008-04-01 04:00:00,2008,4
X360,1209614400000,505934,2008-05-01 04:00:00,2008,5
X360,1212292800000,531833,2008-06-01 04:00:00,2008,6
X360,1214884800000,494298,2008-07-01 04:00:00,2008,7
X360,1217563200000,463130,2008-08-01 04:00:00,2008,8
X360,1220241600000,826196,2008-09-01 04:00:00,2008,9
X360,1222833600000,825265,2008-10-01 04:00:00,2008,10
X360,1225512000000,1795402,2008-11-01 04:00:00,2008,11
X360,1228107600000,3396498,2008-12-01 05:00:00,2008,12
X360,1230786000000,751241,2009-01-01 05:00:00,2009,1
X360,1233464400000,717758,2009-02-01 05:00:00,2009,2
X360,1235883600000,771557,2009-03-01 05:00:00,2009,3
X360,1238558400000,466713,2009-04-01 04:00:00,2009,4
X360,1241150400000,403264,2009-05-01 04:00:00,2009,5
X360,1243828800000,549049,2009-06-01 04:00:00,2009,6
X360,1246420800000,421219,2009-07-01 04:00:00,2009,7
X360,1249099200000,453415,2009-08-01 04:00:00,2009,8
X360,1251777600000,736679,2009-09-01 04:00:00,2009,9
X360,1254369600000,695055,2009-10-01 04:00:00,2009,10
X360,1257048000000,1753018,2009-11-01 04:00:00,2009,11
X360,1259643600000,2896665,2009-12-01 05:00:00,2009,12
X360,1262322000000,728723,2010-01-01 05:00:00,2010,1
X360,1265000400000,728481,2010-02-01 05:00:00,2010,2
X360,1267419600000,754399,2010-03-01 05:00:00,2010,3
X360,1270094400000,472057,2010-04-01 04:00:00,2010,4
X360,1272686400000,424058,2010-05-01 04:00:00,2010,5
X360,1275364800000,808440,2010-06-01 04:00:00,2010,6
X360,1277956800000,985849,2010-07-01 04:00:00,2010,7
X360,1280635200000,741176,2010-08-01 04:00:00,2010,8
X360,1283313600000,1001771,2010-09-01 04:00:00,2010,9
X360,1285905600000,798125,2010-10-01 04:00:00,2010,10
X360,1288584000000,2330328,2010-11-01 04:00:00,2010,11
