title,like_amount,comment_amount,published_date,article_url
【專欄】至今仍在守候永恆的愛 端看一款接著一款的《RO 仙境傳說》IP 改編手機遊戲,54,189,2020-12-19T16:04:21+08:00,https://gnn.gamer.com.tw/detail.php?sn=208184
《RO 仙境傳說：新世代的誕生》林志穎現身普隆德拉 同步推出「代言人」玩法及活動,10,59,2020-11-17T16:18:40+08:00,https://gnn.gamer.com.tw/detail.php?sn=206499
兩款《RO 仙境傳說》遊戲與《貓貓蟲咖波》跨界合作 開放咖波特殊任務與限定道具,11,15,2020-11-10T18:45:01+08:00,https://gnn.gamer.com.tw/detail.php?sn=206141
《RO 仙境傳說：新世代的誕生》 於菁桐國小舉辦首屆「波利天燈節」 波利燈海冉冉升空,3,46,2020-11-09T12:33:23+08:00,https://gnn.gamer.com.tw/detail.php?sn=206044
《仙境傳說》新作《仙境傳說：起始》通過韓國分級審查 將是一款 PC MMORPG 作品,28,143,2020-10-20T19:39:37+08:00,https://gnn.gamer.com.tw/detail.php?sn=205051
《RO 仙境傳說：新世代的誕生》於雙平台推出 與所有冒險者共赴「新世代」RO 樂園,24,114,2020-10-15T11:07:55+08:00,https://gnn.gamer.com.tw/detail.php?sn=204761
《RO 仙境傳說 戰鬥學院》預告將展開封測 釋出製作緣起、角色風格轉變等開發心得,28,109,2020-10-06T16:16:31+08:00,https://gnn.gamer.com.tw/detail.php?sn=204344
仙境傳說衍生新作《仙境傳說 普隆德拉迷宮》開放預先註冊 在迷宮中挑戰 MVP 怪物！,9,110,2020-09-23T16:27:49+08:00,https://gnn.gamer.com.tw/detail.php?sn=203665
《RO 仙境傳說：新世代的誕生》宣布 10 月 15 日正式上市 雙平台預先註冊進行中,31,152,2020-09-11T14:35:54+08:00,https://gnn.gamer.com.tw/detail.php?sn=203071
《RO 仙境傳說：新世代的誕生》即日起招募刪檔封測玩家 公開全新戰鬥與生活系統介紹,12,154,2020-08-25T16:03:24+08:00,https://gnn.gamer.com.tw/detail.php?sn=202142
《RO 仙境傳說 Online》週末戰報回顧 巴基利伺服器玩家奪得 2020 RTC 年度總冠軍,9,18,2020-08-24T17:40:29+08:00,https://gnn.gamer.com.tw/detail.php?sn=202086
《RO 仙境傳說：守護永恆的愛》宣布《鎧傳》聯名職業「輝煌帝」期間限定取得,6,42,2020-07-31T16:54:21+08:00,https://gnn.gamer.com.tw/detail.php?sn=200979
《仙境傳說 ORIGIN》於韓國雙平台推出 因登入玩家過多造成伺服器壅塞,4,55,2020-07-07T16:55:58+08:00,https://gnn.gamer.com.tw/detail.php?sn=199611
MMORPG《仙境傳說 ORIGIN》明日於韓國正式展開服務 已於雙平台開放下載,21,84,2020-07-06T16:34:51+08:00,https://gnn.gamer.com.tw/detail.php?sn=199559
《仙境傳說 ORIGIN》媒體發表會內容紀錄 直擊開發、營運團隊的 Q&A 遊戲資訊,10,75,2020-06-18T14:25:49+08:00,https://gnn.gamer.com.tw/detail.php?sn=198682
MMORPG《仙境傳說 ORIGIN》預計 7 月於韓國正式推出 將展開第二次刪檔封測,15,105,2020-06-09T12:16:06+08:00,https://gnn.gamer.com.tw/detail.php?sn=198106
《RO 仙境傳說：守護永恆的愛》龍之城洛陽改版 全新四轉職業首度登場,24,65,2020-06-02T12:40:42+08:00,https://gnn.gamer.com.tw/detail.php?sn=197766
《RO 仙境傳說：守護永恆的愛》7.0 改版搶先曝光 首款 RO 四轉職業降臨,10,82,2020-05-21T17:54:25+08:00,https://gnn.gamer.com.tw/detail.php?sn=197254
《仙境傳說 ORIGIN》於韓國展開封測 公開三部遊玩影片介紹主要城市及操作方法,3,163,2020-05-08T14:33:25+08:00,https://gnn.gamer.com.tw/detail.php?sn=196599
