title,like_amount,comment_amount,published_date,article_url
NEXON 新款打寶射擊遊戲《Project Magnum》曝光首支宣傳影片,31,70,2021-08-05T12:54:35+08:00,https://gnn.gamer.com.tw/detail.php?sn=219038
《Apex 英雄：羽化重生》即將上線 釋出新英雄「席爾」技能介紹影片,10,23,2021-08-02T18:19:07+08:00,https://gnn.gamer.com.tw/detail.php?sn=218904
Nexon 新款打寶射擊遊戲《Project Magnum》亮相,27,76,2021-07-21T17:43:50+08:00,https://gnn.gamer.com.tw/detail.php?sn=218348
《夢想飛飛》不刪檔封測正式展開 同步公開主題曲「我要飛」,7,34,2021-06-17T19:45:49+08:00,https://gnn.gamer.com.tw/detail.php?sn=216740
Gamebiz.jp 證實手機遊戲《Final Fantasy XI Reboot》正式取消開發,7,8,2021-03-25T14:35:18+08:00,https://gnn.gamer.com.tw/detail.php?sn=212563
《柴柴故事》曝光宣傳影片 試著取得柴犬青睞、一起漫步舊金山,7,3,2021-03-17T16:06:39+08:00,https://gnn.gamer.com.tw/detail.php?sn=212166
NEXON 將在韓國展開大規模人才招募 透露《Project SF2》等多項新遊戲開發專案,111,180,2021-03-12T17:49:01+08:00,https://gnn.gamer.com.tw/detail.php?sn=211992
SQUARE ENIX 預定 3 月 19 日舉辦線上直播發表會 帶來《奇異人生》新作等最新資訊,2,11,2021-03-12T14:29:35+08:00,https://gnn.gamer.com.tw/detail.php?sn=211946
結合貪食蛇與彈幕要素《最後指令》釋出獨立體驗版 挑戰兩隻 BOSS 與三種難度,17,10,2021-02-26T14:21:50+08:00,https://gnn.gamer.com.tw/detail.php?sn=211301
【GNN 大調查】既期待又怕受傷害！2021 年最期待的手機遊戲票選結果出爐,93,140,2021-02-05T12:00:01+08:00,https://gnn.gamer.com.tw/detail.php?sn=210428
外媒報導 NEXON 已終止《FFXI REBOOT》開發 將人力投入《天翼之鍊 M》等項目,5,44,2020-12-18T15:49:52+08:00,https://gnn.gamer.com.tw/detail.php?sn=208131
【TGA 20】完美女煞星回歸！經典重啟新作《Perfect Dark》正式發表,18,17,2020-12-11T09:14:34+08:00,https://gnn.gamer.com.tw/detail.php?sn=207738
放置型策略 RPG《軒轅劍 - 劍之源》首部資料片更新 推出全新夥伴及多樣玩法,3,14,2020-11-04T17:41:46+08:00,https://gnn.gamer.com.tw/detail.php?sn=205823
十銓科技 2020 新品線上發表會 9 月 22 日全球直播 將揭開新產品與新品牌 T-CREATE,2,0,2020-09-08T19:08:04+08:00,https://gnn.gamer.com.tw/detail.php?sn=202903
策略戰棋遊戲《鍊神之戰》新增劇情任務 同步釋出台灣限定角色開發訊息,6,69,2020-08-04T16:51:17+08:00,https://gnn.gamer.com.tw/detail.php?sn=201138
《天堂 REMASTERED》韓版公開第十個職業「槍騎士」 同步曝光動畫宣傳影片,31,75,2020-07-28T12:33:03+08:00,https://gnn.gamer.com.tw/detail.php?sn=200726
《鍊神之戰》公開遊戲戰鬥部分介紹 同步釋出台灣限定地圖設計草圖,15,60,2020-07-17T14:33:25+08:00,https://gnn.gamer.com.tw/detail.php?sn=200171
NEXON 關閉位於美國橙郡的研發團隊,2,17,2020-07-17T11:49:11+08:00,https://gnn.gamer.com.tw/detail.php?sn=200158
《DJMax Respect V》預告七月更新將推出《DEEMO》、《Cytus》合作 DLC 內容,8,11,2020-07-08T19:10:13+08:00,https://gnn.gamer.com.tw/detail.php?sn=199718
策略戰棋遊戲《鍊神之戰》即將在台上市 預計 7 月展開事前預約,0,14,2020-06-19T12:28:37+08:00,https://gnn.gamer.com.tw/detail.php?sn=198765
《戰艦世界》明日起限時開放「潛水艇戰鬥」 使用潛水艇體驗全新臨時戰鬥類型,2,8,2020-05-27T17:59:58+08:00,https://gnn.gamer.com.tw/detail.php?sn=197513
《塞爾之光》改版推出新玩法「黎明契約」及「精靈祝福系統」,0,1,2020-05-12T17:28:05+08:00,https://gnn.gamer.com.tw/detail.php?sn=196753
Riot 釋出《符文大地傳說》新英雄「菲艾」技能展示影片 利用鐵腕擊敗對手,0,57,2020-04-20T17:58:19+08:00,https://gnn.gamer.com.tw/detail.php?sn=195710
《一騎當千》改編新作《一騎當千 Extra Burst》開設預告網站 預計 2020 年春季問世,1,65,2020-03-17T18:48:55+08:00,https://gnn.gamer.com.tw/detail.php?sn=194089
《繪師神之絆》宣布發行商變更為 Rudel　預計 2020 年春季在日本推出,0,3,2020-03-13T18:06:26+08:00,https://gnn.gamer.com.tw/detail.php?sn=193945
《夢境》推出全新活動玩法「英豪令」,0,0,2020-03-13T11:37:14+08:00,https://gnn.gamer.com.tw/detail.php?sn=193899
南韓疫情延燒 遊戲大廠 NCsoft、NEXON、網石等持續實施帶薪休假或在家辦公,2,28,2020-03-03T12:17:47+08:00,https://gnn.gamer.com.tw/detail.php?sn=193408
《功夫熊貓：命運之爪》全新影集將在 DreamWorks 頻道全亞洲首播,0,6,2020-01-10T16:02:48+08:00,https://gnn.gamer.com.tw/detail.php?sn=191201
澀澤光領軍開發《三國志》手機完全新作預計 2020 年 1 月公開詳情 成立預告網站,29,63,2019-12-10T17:02:56+08:00,https://gnn.gamer.com.tw/detail.php?sn=189846
【G★2019】《原神》《崩壞 3》PC 版開放試玩 《原神》增加兩名新角色與韓文語音,7,144,2019-11-22T15:22:37+08:00,https://gnn.gamer.com.tw/detail.php?sn=189005
【G★2019】輕鬆放置《加油吧，突擊！仙境傳說 2》試玩影片 現場展出眾多波利周邊,2,44,2019-11-21T16:27:17+08:00,https://gnn.gamer.com.tw/detail.php?sn=188938
【試玩】趣味動作遊戲《準時下班 ONLINE》與同事們起合作拚下班！,0,29,2019-10-26T10:00:01+08:00,https://gnn.gamer.com.tw/detail.php?sn=187700
像素風動作遊戲《非靈魂 Unsouled》亮相 預計 2020 年春季上市,0,8,2019-10-17T18:53:43+08:00,https://gnn.gamer.com.tw/detail.php?sn=187245
融入中國妖怪文化解謎遊戲《山海旅人》近日公開 預計 2020 年上市,0,19,2019-10-14T17:42:09+08:00,https://gnn.gamer.com.tw/detail.php?sn=187021
《靈魂之聲 Online》推出「今日攻擊隊」隨機系統與全新啤酒節慶典活動,-1,7,2019-09-26T19:07:34+08:00,https://gnn.gamer.com.tw/detail.php?sn=186307
【G★2019】NEXON 14 年來將首度缺席韓國最大遊戲展 G-STAR,1,68,2019-08-12T18:55:47+08:00,https://gnn.gamer.com.tw/detail.php?sn=184099
《天翼之鍊》韓版今日改版推出 EPISODE 4《變奏》第一章 開場動畫曝光,2,121,2019-07-18T16:12:18+08:00,https://gnn.gamer.com.tw/detail.php?sn=182856
【電玩瘋】2019 下半年十大期待手機遊戲,0,59,2019-07-14T12:00:06+08:00,https://gnn.gamer.com.tw/detail.php?sn=182646
《天翼之鍊 M》揭露更多遊戲細節 上市時程仍未確定,5,77,2019-06-27T18:29:14+08:00,https://gnn.gamer.com.tw/detail.php?sn=181777
《天翼之鍊》韓版公開 EPISODE 4《變奏》宣傳影片 預告《天翼之鍊 M》即將登場,0,164,2019-06-20T16:55:41+08:00,https://gnn.gamer.com.tw/detail.php?sn=181421
